AccountCompany();GMTdif;ChangeMode
A+T Advised Trading SA;2;0
Admiral Markets Ltd.;1;0
AForex Ltd.;4;3
Akmos Trade, Ltd.;2;0
AL Trade Inc.;3;0
Alpha Broker Capital, Ltd.;0;2
Alpari Ltd.;2;0
ATC Brokers;4;1
Beaverhead Financial Inc.;3;0
Belvedere Inc.;3;0
BroCo Investments Inc.;2;0
BrokerCreditService (Cyprus) Limited;2;0
Digital Dealing Corp.;3;1
Dunboyne Investment, S.A.;1;2
Dunhill Scott Inc.;3;3
E-Global Trade & Finance Group, Inc.;2;0
EuroForex Development LLC.;3;1
EuroOrient Securities&Financial Services Ltd;3;0
FastBrokersFX.com;3;1
FIBO Group, Ltd.;2;0
FINAM Limited;2;0
Financial Company Rinkost Ltd;2;1
FinMarket Ltd.;2;2
Foreign Exchange Clearing House Ltd;-4;1
Forex Best;2;0
Forex Ltd.;2;2
Forex Market Gates;1;0
FOREX.com;0;2
ForexGen LLC.;3;3
FxCompany Ltd.;3;0
FXDirectDealer;3;1
FX-Invest Group Inc.;2;1
FXLite LLC;3;1
Global Tradewaves Ltd.;5;3
Grand Capital Ltd.;2;3
InstaTrade Corporation;3;1
Integra Capital Ltd.;2;0
Interbank FX, LLC;1;2
iPForex Corp.;2;0
ISIGroup Ltd.;3;0
I-Trade FX, LLC;-4;0
Lefco Bank;2;0
MBC Financial Services Ltd;1;2
MIG Investments SA;2;1
MoneyRain Corporation;0;2
Mutual Enterprises LLP;2;0
North Finance Company Ltd;3;0
North-West Financial Broker;2;0
ODL Securities;0;2
Peregrine Financial Group, Inc;-4;1
Poltek Business Ltd.;3;2
RBC Forex Corp.;3;0
Riston Capital Ltd.;3;0
SigmaForex;3;3
Straighthold Investment Group, Inc.;3;1
STS Finance;3;0
SystemForex ;2;0
Tetrabourse Group;4;1
Trendoks IMG;2;3
Tycoon International Trading Ltd.;2;0
UMIS Group Ltd;4;0
United World Capital, Ltd.;3;1
Univell Ltd.;3;0
Vector Securities, Ltd.;2;0
Velocity4x;0;2
Wega Trade Ltd.;3;0
World Forex Corp.;2;0
Таганрог;3;0
